[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.ResiterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (4 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/18 - 20:07:05 | 404 |      1.0095ms |             ::1 | GET      "/swagger/index"
[GIN] 2022/10/18 - 20:07:05 | 404 |            0s |             ::1 | GET      "/favicon.ico"
[GIN] 2022/10/18 - 20:07:18 | 200 |       630.5µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/18 - 20:07:18 | 200 |       449.1µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/18 - 20:07:18 | 200 |       923.8µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/18 - 20:07:18 | 200 |       1.489ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/18 - 20:07:19 | 200 |       195.7µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/18 - 20:07:19 | 200 |            0s |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2022/10/18 - 20:10:04 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/18 - 20:10:04 | 422 |            0s |             ::1 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:12:13 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/18 - 20:12:13 | 422 |            0s |             ::1 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:22:16 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/18 - 20:22:16 | 422 |            0s |             ::1 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:23:09 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/18 - 20:23:09 | 422 |            0s |             ::1 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:24:57 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/18 - 20:24:57 | 422 |            0s |             ::1 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:35:56 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:37:43 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:38:30 | 422 |      1.0001ms |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:39:10 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:47:17 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:48:12 | 422 |      1.0035ms |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:49:35 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:50:11 | 404 |            0s |             ::1 | POST     "/api/auto/login"
[GIN] 2022/10/18 - 20:50:24 | 200 |     55.4291ms |             ::1 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:51:17 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:53:32 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/18 - 20:54:05 | 422 |            0s |    172.20.21.97 | POST     "/api/auth/login"
