[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/19 - 17:15:49 | 200 |     60.5715ms |    172.20.21.97 | POST     "/api/auth/login"
[GIN] 2022/10/19 - 17:15:59 | 200 |      2.0831ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:04 | 200 |       919.3µs |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:09 | 200 |       778.2µs |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:14 | 200 |      2.2581ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:19 | 200 |       873.2µs |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:24 | 200 |      1.6015ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:29 | 200 |      1.8646ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:34 | 200 |      1.9794ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:39 | 200 |      1.8924ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:44 | 200 |       739.4µs |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:49 | 200 |      1.7115ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:54 | 200 |       747.9µs |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:16:59 | 200 |      1.5262ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:17:04 | 200 |      1.5403ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:17:09 | 200 |      2.0759ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:17:14 | 200 |      1.0504ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:17:19 | 200 |            0s |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:17:24 | 200 |      1.3442ms |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:17:29 | 200 |       632.1µs |    172.20.21.97 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/19 - 17:36:30 | 200 |      1.2406ms |             ::1 | POST     "/api/actuator/control"
