[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 16:42:04 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:42:04 | 200 |      1.7064ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:43:12 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:43:12 | 200 |      1.4719ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:43:13 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:43:13 | 200 |      1.2685ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:43:16 | 200 |      1.0556ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:43:17 | 200 |      1.5527ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:43:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:43:19 | 200 |      1.6168ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:43:19 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:43:19 | 200 |       1.672ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:45:50 | 204 |       449.5µs |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:45:50 | 200 |      1.2541ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:45:50 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:45:50 | 200 |      2.1717ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:05 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:05 | 200 |      2.2557ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:06 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:47:06 | 200 |      2.7601ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:06 | 200 |     14.3007ms |             ::1 | POST     "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:47:46 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:46 | 200 |      1.5279ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:47 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:47:47 | 200 |       1.204ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:47:47 | 200 |      4.6407ms |             ::1 | POST     "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:47:56 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:47:56 | 401 |      1.2385ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:47:57 | 200 |      1.4731ms |             ::1 | POST     "/api/manager/login"
