[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 19:00:12 | 200 |     51.3314ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:00:20 | 200 |     52.0597ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:00:20 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:00:20 | 200 |       1.694ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:00:20 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:00:20 | 200 |      1.4126ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:00:29 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 19:00:29 | 200 |     60.0817ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 19:00:34 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 19:00:34 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 19:00:37 | 200 |     53.4309ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:00:37 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:00:37 | 200 |      1.7494ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:00:37 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:00:37 | 200 |      1.4465ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:00:39 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 19:00:39 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 19:00:42 | 200 |     50.8802ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:00:46 | 200 |     50.4103ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:00:46 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:00:46 | 200 |      1.0158ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:00:46 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:00:46 | 200 |      2.1444ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:03 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:02:03 | 200 |       647.8µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:02:03 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:03 | 200 |      1.2509ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:14 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 19:02:14 | 200 |     60.7583ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 19:02:22 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 19:02:22 | 200 |     63.2875ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 19:02:25 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:02:25 | 200 |      1.4578ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:02:25 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:25 | 200 |      1.8267ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:36 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 19:02:36 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 19:02:38 | 200 |     51.6197ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:02:42 | 200 |     50.0183ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 19:02:42 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:02:42 | 200 |      1.4735ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:02:42 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:42 | 200 |      3.0924ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:58 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:02:58 | 200 |      1.1753ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:03:03 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 19:03:03 | 200 |     60.4329ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 19:03:03 | 200 |       615.3µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:03:10 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 19:03:10 | 200 |     56.2693ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 19:03:10 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:03:10 | 200 |      1.1131ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:04:17 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 19:04:17 | 200 |      1.6738ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 19:09:25 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:09:25 | 200 |      1.6619ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:47:54 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:47:54 | 200 |      1.1973ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:47:54 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:47:54 | 200 |        1.84ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:48:33 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:48:33 | 200 |      1.1769ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:48:34 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:48:34 | 200 |      1.9093ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:54:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:54:19 | 200 |      1.4037ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:54:19 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:54:19 | 200 |       2.164ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:55:16 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:55:17 | 200 |      1.0632ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 19:58:35 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 19:58:35 | 200 |      1.0389ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 19:58:35 | 204 |       859.9µs |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 19:58:35 | 200 |      2.2553ms |             ::1 | GET      "/api/manager/all/user"
