[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 20:03:23 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2022/10/25 - 20:03:23 | 200 |      1.3391ms |             ::1 | POST     "/api/auth/register"
[GIN] 2022/10/25 - 20:05:39 | 204 |      1.0633ms |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:05:39 | 200 |      1.3027ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:05:39 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:05:39 | 200 |      1.9214ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:05:42 | 200 |      1.1106ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:05:42 | 200 |      1.4284ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:05:48 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2022/10/25 - 20:05:48 | 200 |            0s |             ::1 | POST     "/api/auth/register"
[GIN] 2022/10/25 - 20:06:11 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:06:11 | 200 |      1.4607ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:06:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2022/10/25 - 20:06:19 | 200 |            0s |             ::1 | POST     "/api/auth/register"
[GIN] 2022/10/25 - 20:06:45 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:06:45 | 200 |      1.3759ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:06:49 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2022/10/25 - 20:06:49 | 200 |            0s |             ::1 | POST     "/api/auth/register"
[GIN] 2022/10/25 - 20:07:31 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:07:31 | 200 |       1.289ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:07:38 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2022/10/25 - 20:07:38 | 200 |     61.3246ms |             ::1 | POST     "/api/auth/register"
[GIN] 2022/10/25 - 20:07:38 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:07:38 | 200 |      1.5065ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:07:54 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/update/user"
[GIN] 2022/10/25 - 20:07:54 | 200 |     62.3223ms |             ::1 | POST     "/api/manager/update/user"
[GIN] 2022/10/25 - 20:07:54 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:07:54 | 200 |      1.3653ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:07:56 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 20:07:56 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 20:08:01 | 200 |     50.1262ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 20:08:01 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:08:01 | 200 |       987.5µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:08:01 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:08:01 | 200 |      2.3138ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:08:04 | 200 |       872.1µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:10:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:10:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 20:10:01 | 200 |       1.062ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:10:01 | 200 |      9.1037ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 20:10:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 20:10:01 | 200 |      1.7865ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 20:10:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 20:10:01 | 200 |      1.3921ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 20:10:14 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:10:14 | 200 |      1.8292ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:13:19 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:13:19 | 200 |      1.2778ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:17:16 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:17:16 | 200 |      2.4292ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:28 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:28 | 200 |      1.4686ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:29 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:29 | 200 |      2.5155ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:37 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:37 | 200 |       644.9µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:37 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:37 | 200 |      1.1524ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:41 | 200 |      1.2584ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:41 | 200 |      1.6202ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:53 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:53 | 200 |      1.8409ms |             ::1 | GET      "/api/auth/detail"
