[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/all/nondto      --> github.com/Wh0rigin/GraduationProject/controller.AllBookNonDto (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 20:46:34 | 204 |       510.4µs |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:46:34 | 200 |      3.0811ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:46:54 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:46:54 | 200 |      1.3453ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:47:03 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:47:03 | 200 |         948µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:47:03 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:47:03 | 200 |      1.1512ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:48:19 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:48:19 | 200 |      1.5998ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:48:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:48:51 | 200 |      1.0454ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:48:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:48:59 | 200 |      1.0282ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:50:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:50:12 | 200 |       2.407ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:51:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:51:04 | 200 |      1.6554ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:52:46 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:52:46 | 200 |      1.4772ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:53:05 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:53:05 | 200 |      1.1627ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:54:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 20:54:13 | 200 |      1.9164ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:54:13 | 200 |      4.0041ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 20:54:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 20:54:13 | 200 |      1.9665ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 20:54:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 20:54:13 | 200 |       956.4µs |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 20:54:19 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
