[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/all/nondto      --> github.com/Wh0rigin/GraduationProject/controller.AllBookNonDto (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 21:32:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:32:13 | 200 |     11.3222ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:32:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:32:13 | 200 |      1.9268ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:32:48 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:32:48 | 200 |       3.346ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:32:48 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:32:48 | 200 |         970µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:33:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:33:07 | 200 |      9.8985ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:33:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:33:07 | 200 |       986.3µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:33:22 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:33:22 | 200 |      8.5325ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:33:22 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:33:22 | 200 |      1.6544ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:33:44 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:33:44 | 200 |      1.0712ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:33:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:33:51 | 200 |     10.3915ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:33:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:33:51 | 200 |      2.1078ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:09 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:34:09 | 200 |      1.1074ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:34:14 | 200 |      1.2512ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:34:18 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:34:18 | 200 |      9.4708ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:34:18 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:18 | 200 |      1.3298ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:28 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:28 | 200 |      1.7163ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:30 | 200 |       715.1µs |             ::1 | GET      "/api/book/all/nondto"
