[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/all/nondto      --> github.com/Wh0rigin/GraduationProject/controller.AllBookNonDto (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/book/select/nondto/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookNonDto (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 23:32:44 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:32:44 | 200 |       1.448ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:32:47 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/nondto/isbn/2"
[GIN] 2022/10/25 - 23:32:47 | 200 |      1.3921ms |             ::1 | GET      "/api/book/select/nondto/isbn/2"
[GIN] 2022/10/25 - 23:32:49 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/nondto/isbn/1"
[GIN] 2022/10/25 - 23:32:49 | 200 |      1.3655ms |             ::1 | GET      "/api/book/select/nondto/isbn/1"
[GIN] 2022/10/25 - 23:33:13 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:33:13 | 200 |      1.0656ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:33:18 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/nondto/isbn/123"
[GIN] 2022/10/25 - 23:33:18 | 200 |      1.5764ms |             ::1 | GET      "/api/book/select/nondto/isbn/123"
[GIN] 2022/10/25 - 23:34:50 | 204 |       917.7µs |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 23:34:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 23:34:50 | 200 |      2.2347ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 23:34:50 | 200 |    122.7238ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 23:34:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 23:34:50 | 200 |      2.6202ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 23:34:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 23:34:50 | 200 |      1.2623ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 23:34:54 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:34:54 | 200 |       828.4µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:57:42 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:57:42 | 200 |      1.5266ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:57:42 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:57:42 | 200 |       2.653ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:57:45 | 200 |      1.0519ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:57:46 | 200 |      1.7101ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:57:54 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:57:54 | 200 |      1.1996ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:57:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:57:55 | 200 |       917.2µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:07 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:07 | 200 |       704.8µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:07 | 200 |      1.0582ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:19 | 200 |       664.2µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:19 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:19 | 200 |       633.1µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:22 | 200 |      1.2669ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:23 | 200 |      1.3939ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:29 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:29 | 200 |      1.2595ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:35 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:35 | 200 |      1.5659ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:36 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:59:36 | 200 |        1.54ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:59:36 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:36 | 200 |      2.1108ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:39 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
