[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/all/nondto      --> github.com/Wh0rigin/GraduationProject/controller.AllBookNonDto (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/book/select/nondto/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookNonDto (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] GET    /api/sensor/all/non/filtrate --> github.com/Wh0rigin/GraduationProject/controller.GetAllSensorDataNonFiltrate (5 handlers)
[GIN-debug] GET    /api/sensor/all/page      --> github.com/Wh0rigin/GraduationProject/controller.GetAllSensorDataLimit (5 handlers)
[GIN-debug] GET    /api/sensor/total/:sensorName --> github.com/Wh0rigin/GraduationProject/controller.SensorDataNumberByName (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/11/25 - 08:28:56 | 200 |     53.5744ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/11/25 - 08:28:56 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/11/25 - 08:28:56 | 200 |      1.3876ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/11/25 - 08:28:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/11/25 - 08:28:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/11/25 - 08:28:56 | 200 |       2.802ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/11/25 - 08:28:56 | 200 |      9.8225ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/11/25 - 08:28:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/11/25 - 08:28:56 | 200 |      1.4655ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/11/25 - 08:28:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/11/25 - 08:28:56 | 200 |      2.1004ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/11/25 - 08:29:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/11/25 - 08:29:00 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/11/25 - 08:29:53 | 200 |     56.2724ms | 192.168.117.127 | POST     "/api/auth/login"
[GIN] 2022/11/25 - 08:30:05 | 200 |        54.5ms | 192.168.117.127 | POST     "/api/auth/login"
[GIN] 2022/11/25 - 08:30:08 | 200 |     51.0756ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/11/25 - 08:30:08 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/11/25 - 08:30:08 | 200 |      1.0727ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/11/25 - 08:30:08 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/11/25 - 08:30:08 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/11/25 - 08:30:08 | 200 |       998.9µs |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/11/25 - 08:30:08 | 200 |       998.9µs |             ::1 | GET      "/api/book/all"
[GIN] 2022/11/25 - 08:30:08 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/11/25 - 08:30:08 | 200 |       1.408ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/11/25 - 08:30:08 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/11/25 - 08:30:08 | 200 |       998.8µs |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/11/25 - 08:30:11 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/11/25 - 08:30:11 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/11/25 - 08:31:01 | 200 |      1.9272ms | 192.168.117.127 | GET      "/api/book/all"
[GIN] 2022/11/25 - 08:31:06 | 200 |       2.082ms | 192.168.117.127 | GET      "/api/book/select/isbn/2"
[GIN] 2022/11/25 - 08:31:18 | 200 |      2.2264ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:18 | 200 |      1.6102ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:23 | 200 |      1.9307ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:23 | 200 |       4.053ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:24 | 200 |    418.3861ms | 192.168.117.127 | POST     "/api/actuator/control"
[GIN] 2022/11/25 - 08:31:28 | 200 |      1.2153ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:28 | 200 |      1.8876ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:33 | 200 |      1.9475ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:33 | 200 |      2.2788ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:38 | 200 |      1.9717ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:38 | 200 |      1.7426ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:43 | 200 |       1.108ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:43 | 200 |      1.6263ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:48 | 200 |      1.9383ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:48 | 200 |      1.2319ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:53 | 200 |      1.8462ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:53 | 200 |      1.3147ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:31:58 | 200 |      2.3669ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:31:58 | 200 |      1.5603ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:03 | 200 |      1.4227ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:03 | 200 |      1.1145ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:08 | 200 |           2ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:08 | 200 |      1.1642ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:13 | 200 |      2.1665ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:13 | 200 |       1.816ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:18 | 200 |      1.9687ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:18 | 200 |      1.3366ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:23 | 200 |      1.4682ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:23 | 200 |      1.2294ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:28 | 200 |      2.0677ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:28 | 200 |      1.2855ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:33 | 200 |      1.1291ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:33 | 200 |      1.0806ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
